Well.Position,Temperature,Fluorescence,Normalized,tm,Protein,Ligand
C02,44.33052,215258.44,0.535300164405713,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.389988,218686.78,0.544375024969605,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.449455,222137.14,0.553508172759856,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.508923,225607.38,0.562693943168636,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.568394,229095.34,0.571926618647857,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.62786,232598.95,0.581200719880598,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.68733,236115.97,0.59051031755773,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.7468,239643.97,0.599848979437651,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.806267,243180.5,0.609210220338501,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.865734,246723.08,0.618587475668028,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.9252,250269.28,0.627974313184631,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.984673,253816.75,0.63736451240775,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.04414,257363.03,0.646751561685394,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.103607,260905.67,0.656128975835702,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.163074,264442.16,0.665490110856031,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.222546,267969.97,0.674828269803482,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.282013,271486.47,0.684136491033851,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.34148,274988.78,0.693407151149686,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.40095,278474,0.702632573813274,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.46042,281939.25,0.711805135627163,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.519886,285381.56,0.720916974962727,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.579353,288797.94,0.729960177251085,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.638824,292185.34,0.738926669102572,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.69829,295540.78,0.747808562418434,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.75776,298861.28,0.756597969099919,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.81723,302143.7,0.765286577526192,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.876698,305385,0.773866340777719,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.936165,308582.2,0.782329370755748,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,45.995632,311732.4,0.790667991122564,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.055103,314832.97,0.798875240233966,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.11457,317881.4,0.806944474087314,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.174038,320875.3,0.814869366321525,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.23351,323812.47,0.82264409350799,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.292976,326690.75,0.830262938098619,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.352444,329508.16,0.837720659007663,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.41191,332262.94,0.845012597492235,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.471382,334953.6,0.852134809502958,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.53085,337578.75,0.859083615691755,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.590317,340137.38,0.865856342575491,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.649788,342628.38,0.872450051969733,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.709255,345050.75,0.878862096861475,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.768723,347403.66,0.885090280229923,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.82819,349686.34,0.891132563875064,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.88766,351898.25,0.896987518409876,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,46.94713,354039.06,0.902654270320067,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,47.006596,356108.44,0.908131946091346,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,47.066067,358106.25,0.913420175141892,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,47.125534,360032.5,0.918518983941835,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,47.185,361887.28,0.923428610722345,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,47.24447,363670.84,0.928149717236674,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,47.30394,365383.47,0.932683071118593,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,47.363407,367025.5,0.937029545882393,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,47.422874,368597.44,0.941190491504707,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
