Well.Position,Temperature,Fluorescence,Normalized,norm_deriv,tm
A01,23.69466,86756.3,0.428688473932603,-0.0017469753006065,53.49893
A01,23.754032,86742.33,0.428584752515055,-0.00148316571448954,53.49893
A01,23.813402,86730.47,0.428496696966586,-0.00141933927429449,53.49893
A01,23.872774,86719.12,0.428412427955192,-0.00143184446613749,53.49893
A01,23.932146,86707.67,0.428327416485549,-0.00145815448827476,53.49893
A01,23.991516,86696.01,0.42824084585358,-0.00149186938698837,53.49893
A01,24.050888,86684.08,0.428152270584336,-0.00151067806332477,53.49893
A01,24.110258,86672,0.428062581627716,-0.00150437457883324,53.49893
A01,24.16963,86659.97,0.427973263900222,-0.00147316122400315,53.49893
A01,24.229,86648.19,0.427885802318353,-0.00141983948196843,53.49893
A01,24.288372,86636.836,0.427801503608629,-0.00133760037792289,53.49893
A01,24.347742,86626.14,0.427722090274192,-0.0012255088007121,53.49893
A01,24.407114,86616.34,0.427649329365676,-0.0010967422694814,53.49893
A01,24.466484,86607.57,0.427584215777137,-0.000982908078938843,53.49893
A01,24.525856,86599.71,0.427525858558674,-0.000904155827636699,53.49893
A01,24.585226,86592.48,0.427472178827187,-0.000859106679681557,53.49893
A01,24.644598,86585.61,0.427421171945401,-0.000839126639480643,53.49893
A01,24.703968,86578.9,0.427371352996815,-0.000855980381721274,53.49893
A01,24.76334,86572.055,0.427320531729592,-0.000911003225834585,53.49893
A01,24.822712,86564.77,0.427266443646067,-0.00100295017118087,53.49893
A01,24.882082,86556.75,0.427206898494404,-0.00112671778514362,53.49893
A01,24.941454,86547.74,0.427140003006065,-0.00128057478215644,53.49893
A01,25.000824,86537.5,0.427063975281248,-0.00145860557668416,53.49893
A01,25.060196,86525.836,0.426977374950949,-0.00164723935845116,53.49893
A01,25.119566,86512.664,0.426879578350238,-0.00183876340874163,53.49893
A01,25.178938,86497.96,0.426770407289134,-0.00202215763940215,53.49893
A01,25.238308,86481.79,0.426650351790083,-0.00217965493840756,53.49893
A01,25.29768,86464.36,0.42652094131708,-0.00228227439202522,53.49893
A01,25.35705,86446.11,0.426385442686425,-0.00232971724053851,53.49893
A01,25.416422,86427.48,0.42624712271442,-0.00231979123134613,53.49893
A01,25.475792,86408.93,0.426109396709015,-0.00225593660865683,53.49893
A01,25.535164,86390.89,0.425975457240686,-0.00215421691380933,53.49893
A01,25.594534,86373.664,0.425847561382513,-0.0020163371329283,53.49893
